iter	Passed	Remaining
1604	25722	102489
1605	25739	102478
1606	25758	102473
1607	25776	102465
1608	25795	102459
1609	25814	102455
1610	25832	102449
1611	25851	102444
1612	25870	102438
1613	25888	102430
1614	25906	102423
1615	25924	102415
1616	25943	102408
1617	25961	102403
1618	25979	102395
1619	25998	102389
1620	26015	102378
1621	26033	102369
1622	26052	102364
1623	26070	102356
1624	26089	102351
1625	26108	102345
1626	26126	102337
1627	26145	102332
1628	26163	102323
1629	26182	102321
1630	26201	102316
1631	26220	102310
1632	26237	102299
1633	26256	102292
1634	26275	102288
1635	26293	102281
1636	26312	102275
1637	26331	102270
1638	26350	102266
1639	26368	102259
1640	26387	102253
1641	26405	102246
1642	26424	102239
1643	26441	102226
1644	26459	102220
1645	26477	102211
1646	26494	102196
1647	26512	102188
1648	26530	102180
1649	26549	102173
1650	26567	102166
1651	26585	102159
1652	26604	102153
1653	26622	102143
1654	26641	102137
1655	26660	102135
1656	26679	102129
1657	26698	102122
1658	26716	102115
1659	26735	102110
1660	26753	102102
1661	26772	102095
1662	26790	102087
1663	26809	102082
1664	26829	102079
1665	26847	102071
